chip_Id	Standard_Deviation	Sample_Type_Long	Probe	ds_id	Multi_Mapping	Sample_Type	Mapped_gene	Disease_State	Expression_Value	LineGraphGroup	Replicate_ID	Day
1979409009_C	0.0569760203228	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	schizophrenia	12.5188622691	null	fibroblast_SZ_donor_3	null
1979409009_D	0.523044051016	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	schizophrenia	12.6771739216	null	fibroblast_SZ_donor_4	null
1979409009_E	0.0715595539697	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	schizophrenia	12.2678913205	null	fibroblast_SZ_donor_5	null
1979409009_F	0.0310511262712	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	schizophrenia	11.78114869	null	fibroblast_SZ_donor_6	null
1979409009_G	0.124841605818	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	schizophrenia	12.434620739	null	fibroblast_SZ_donor_7	null
1979409009_H	0.234453438292	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	schizophrenia	11.9739920643	null	fibroblast_SZ_donor_8	null
1979409020_B	0.0744049442857	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	schizophrenia	11.628869907	null	fibroblast_SZ_donor_10	null
1699538169_A	0.221423581517	hONS	ILMN_1691364	2000	no	hONS	STAT1	control	11.5515180942	null	hONS_control_donor_15	null
1699538167_A	0.167224173689	hONS	ILMN_1691364	2000	no	hONS	STAT1	control	12.9756785184	null	hONS_control_donor_7	null
1699538167_B	0.149200656595	hONS	ILMN_1691364	2000	no	hONS	STAT1	control	12.7403734991	null	hONS_control_donor_8	null
1699538167_C	0.00707331490239	hONS	ILMN_1691364	2000	no	hONS	STAT1	control	12.2206745177	null	hONS_control_donor_9	null
1699538167_D	0.27620190325	hONS	ILMN_1691364	2000	no	hONS	STAT1	control	11.9072213071	null	hONS_control_donor_10	null
1699538167_E	0.218520545831	hONS	ILMN_1691364	2000	no	hONS	STAT1	control	11.46593382	null	hONS_control_donor_11	null
1699538167_F	0.389506303513	hONS	ILMN_1691364	2000	no	hONS	STAT1	control	11.699377988	null	hONS_control_donor_12	null
1699538167_G	0.0672726711154	hONS	ILMN_1691364	2000	no	hONS	STAT1	control	13.0771036165	null	hONS_control_donor_13	null
1699538155_A	0.256949744028	hONS	ILMN_1691364	2000	no	hONS	STAT1	control	11.8440832931	null	hONS_control_donor_1	null
1699538155_B	0.604421977748	hONS	ILMN_1691364	2000	no	hONS	STAT1	control	12.3573224566	null	hONS_control_donor_2	null
1699538155_E	0.604262159539	hONS	ILMN_1691364	2000	no	hONS	STAT1	control	12.6254093259	null	hONS_control_donor_5	null
1787466064_A	0.00632599105349	hONS	ILMN_1691364	2000	no	hONS	STAT1	control	11.0221049656	null	hONS_control_donor_29	null
1787466029_C	0.0323746060575	hONS	ILMN_1691364	2000	no	hONS	STAT1	control	12.5882003787	null	hONS_control_donor_27	null
1699538155_D	0.0685115037215	hONS	ILMN_1691364	2000	no	hONS	STAT1	control	13.9871963521	null	hONS_control_donor_4	null
1787466064_F	0.33651586478	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	12.0144050198	null	hONS_PD_donor_30	null
1699538160_C	0.72262475479	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	13.3062067277	null	hONS_PD_donor_6	null
1787466064_H	0.487495085927	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	12.1678079858	null	hONS_PD_donor_32	null
1699538160_E	0.0124812587879	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	12.442467183	null	hONS_PD_donor_8	null
1787466065_B	0.536013750119	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	12.3553500889	null	hONS_PD_donor_34	null
